oak%(n.)   ¾ó¾ð,¾ó¤ì
oar%(n.)   ¼Õ,Ãr,¦E¤â
oasis%(n.)   ºñ¬w
oath%(n.)   «Å»},»}¨¥,»}¬ù,¶A©G
obey%(v.)   ¿í¦u,ªA±q,Å¥±q
obedient%(a.)   ¶¶±qªº
obituary%(n.)   ¦º¤`¤½§i
object%(n.)   ª«Åé,ª«¥ó,¹ï¶H,¥Ø¼Ð,¨üµü
object%(v.)   ¤Ï¹ï,§ÜÄ³(»Pto³s¥Î)
objection%(n.)   ¤Ï¹ï,²§Ä³
objective%(a.)   «ÈÆ[ªº
objective%(n.)   ¥Ø¼Ð
oblige%(v.)   ±j­¢,¨Ï¤£±o¤£
oblong%(a.)   ªø¤è§Îªº
obligation%(n.)   ¸q°È,Â¾³d
obscure%(a.)   ¤£²M·¡ªº,µL¦Wªº,·tªº
obscure%(v.)   ¾B½ª
observe%(v.)   Æ[¹î,¿í¦u,µû½×
observation%(n.)   Æ[¹î
observer%(n.)   Æ[¹îªÌ
observatory%(n.)   Æ[´ú©Ò
obsession%(n.)	 µÛ°g, ³QÄñ¦í
obstacle%(n.)   »ÙÃª(ª«),ªýÃª
obtain%(v.)   Àò±o,±o¨ì
obvious%(a.)   ©úÅãªº,ÅãµMªº
obviously%(adv.) ©úÅã¦a
occasion%(n.)   ³õ¦X,®É¾÷
occasional%(a.)   °¸º¸ªº
occasionally%(adv.) °¸º¸¦a
occupation%(n.)   Â¾·~,¦û¾Ú
occupational%(a.)   Â¾·~ªº
occupy%(v.)   ¦û¾Ú,¦û¥Î,¨Ï¦£©ó
occurrence%(n.)   µo¥Í,¨Æ¥ó
ocean%(n.)   ®ü¬v,¤j®ü
o'clock%(adv.) ...ÂIÄÁ
Oct.%(ÁY¼g) October¤Q¤ë
October%(n.)   ¤Q¤ë
odd%(a.)   ©_¯Sªº;¹s¸Hªº
odds%(n.)   ³Óºâ
odor%(n.)   ®ð¨ý,­·¨ý
offend%(v.)   «_¥Ç,Ä²«ã;¹H¤Ï(¡ãagainst)
of%(’ô)   ...ªº
of%(adv.) ·íµM
offensive%(a.)   «_¥Çªº,¥O¤H¤£§Öªº
off%(adv.) Â÷¶}
off%(¤¶)   Â÷¶}
offer%(V.)   ´£¨Ñ,´£¥X,¨Ñµ¹
offer%(n.)	 ´£¨Ñ, ´£Ä³
off%(a.)   ¤ÀÂ÷ªº
offering%(n.)   ¨Ñ©^
office%(n.)   ¿ì¤½³B(«Ç),¬F©²¾÷Ãö
offence%(n.)   =offense
officer%(n.)   ­x©x,©x¦O,Äµ©x,Äµ¹î
offense%(n.)   ¹H¤Ï
official%(a.)   Â¾°È¤Wªº,¥¿¦¡ªº
official%(n.)   ¤½°È­û,©x¦O
officially%(adv.) ¤½°È¤W
offspring%(n.)   ¤l®],«á¸Ç
offset%(n.)   ¸ÉÀv
oil%(n.)   ªo,¥Ûªo
oily%(a.)   ªo(¿°)ªº,ªo©Êªº
offshore%(a.)   ªñ®üªº
ointment%(n.)   ³n»I,»IÃÄ
often%(adv.) ±`±`
on%(¹Ä)   ®@
old%(a.)   ¦Ñªº,ÂÂªº,...·³ªº
oldest%(³Ì°ª¯Å)old³Ì°ª¯Å
older%(¤ñ¸û¯Å)old¤ñ¸û¯Å
OK%(a.)   ¦n
OK%(adv.) ¶¶§Q¦a
OK%(v.)   ©Ó»{
OK%(n.)   ©Ó»{
old-fashioned%(a.)   ¦Ñ¦¡ªº,¦uÂÂªº
olive%(n.)   ¾ñÆV¾ð,¾ñÆV
olive%(n.)   ¾ñÆVªo
okay%(n.)   ¦n
Olympic%(a.)   ¶øªL¤Ç§Jªº
old%(n.)   ²¦·~¥Í
Old%(n.)   ÃÄ¬ù¸t¸g
Olympic%(n.)   °ê»Ú¶øªL¤Ç§J¹B°Ê·|
omen%(n.)   ¹w¥ü,«e¥ü,¼x¥ü
ominous%(a.)   ¤£¦N²»ªº
omit%(v.)   ¬Ù²¤,¿òº|
omission%(n.)   §R°£,¿òº|
once%(adv.) ¤@¦¸,±q«e
once%(³s)   ¤@¥¹
once%(n.)   ¤@¦¸
on%(¤¶)   ©ó....
on%(adv.) ¦b¤W­±
onion%(n.)   ¬v½µ
one%(n.)   ¤@
one%(¥N)   ¤@­Ó
one%(a.)   ¤@­Óªº
onward%(a.)   ¦V«eªº(¦a),˜¨¡Ï«e¶iªº(¦a)
oneself%(¥N)   ¦Û¤v¥»¨­
open%(a.)   ¶}µÛ,¤½¶}ªº
open%(v.)   ¥´¶}
one-time%(a.)   ¹L¥hªº
opener%(n.)   ¶}²~¾¹,¶}Åø¾¹
open-minded%(a.)   ¤ß¯Ý¶}Áïªº
opera%(n.)   ºq¼@
opening%(n.)   ¶}©l
openly%(adv.) ¤½µM¦a
