sadden%(v.)    使悲傷
sadly%(adv.)  悲哀地
safari%(n.)    遠征旅行
safely%(adv.)  安全地
Sagittarius%(n.)    [天文]射手座
sailing%(n.)    航海
sake%(n.)    (日本的)酒
salaried%(a.)    (定期)支領薪水的
sally%(n.)    突擊
salon%(n.)    大廳
salvage%(n.)    海灘營救
sanctuary%(n.)    聖所
sand%(n.)    沙; 沙地; 沙灘; 沙洲
sand%(v.)    撒沙於; 撒沙似地佈滿
sarcastic%(a.)    挖苦的
sat%(v.)    sit的過去式及過去分詞
satisfactorily%(adv.)  令人滿意地
Saudi%(n.)    沙烏地阿拉伯
savings%(n.)    儲蓄存款帳戶
scattered%(a.)    分散的
scenario%(n.)    劇情說明書
scholarly%(a.)    (某人)有學者風度的
school%(n.)    學校
science%(n.)    科幻小說
scorer%(n.)    (競賽等的)記分員
Scorpio%(n.)    [天文]天蠍座
Scot%(縮寫)Scotland蘇格蘭
Scottish%(a.)    蘇格蘭的
scramble%(v.)    爬
scrutiny%(n.)    周密的調查[研究]
seam%(n.)    接縫
searching%(a.)    (眼神等)像探索似的
secondary%(n.)    中等學校
Secretary%(n.)	  祕書
secretary-general%(n.)    秘書長
sector%(n.)    部門
secular%(a.)    非宗教(性)的
Security%(n.)    (聯合國)安全理事會
seduce%(v.)    誘惑(年輕女孩)
sack%(n.)    (大口袋的)袋子;包
sacred%(a.)    神聖的
sacrifice%(n.)    犧牲,祭品
sacrifice%(v.)    犧牲
sad%(a.)    悲傷的,可悲的
saddle%(n.)    馬鞍
saddle%(v.)    裝鞍於(馬等)
safe%(a.)    安全的,平安的
safe%(n.)    保險箱
safety%(n.)    安全,平安
safeguard%(n.)    保護,衛兵安全裝置
sail%(n.)    帆,航行
sailor%(n.)    船員,水手
saint%(n.)    聖徒,聖者,聖人
sake%(n.)    緣故,原因,目的,理由
salad%(n.)    沙拉,生菜食品,涼拌
salary%(n.)    薪水,薪俸
sale%(n.)    銷售,賣,交易
salesman%(n.)    店員,外務員
salmon%(n.)    鮭魚,鮭魚肉
saloon%(n.)    沙龍,酒店,大廳,...場
salt%(n.)    鹽,食鹽
salute%(v.)    向...致意,向...敬禮
salvation%(n.)    救助,救助者,救主
same%(a.)    相同的,同一的
same%(代)    同樣的事物
