table%(n.)   桌子,檯子;表,目錄
tablet%(n.)   錠劑,藥片
tactical%(a.)   戰術上的
tag%(n.)   標籤,貼紙
tail%(n.)   尾巴
tailor%(n.)   裁縫師
Taiwan%(n.)   台灣
Taiwanese%(n.)   台灣人,台灣(人)的
tale%(n.)   故事
talent%(=gift)          (n.)   天份,才幹,才能
talented%(a.)   有天份的(=gifted)
talk%(v.) 說話,談話,商談,閒談
talk%(n.) 說話,談話,商談,閒談
talkative%(a.)   喜歡說話的
tall%(a.)   身材高的,身高
tame%(a.)   馴服的
tamper%(v.)   亂弄,玩弄,行賄
tangerine%(n.)   橘子
tangible%(a.)   有形的,明白的
tangle%(v.)   使纏結,使糾纏
tank%(n.) 桶,水槽,油槽;坦克車
tanker%(n.)   運油船,油車
tap%(n.)   輕拍,輕敲
tape%(n.)   膠帶,錄音帶
target%(n.)   目標,靶子;笑柄
tariff%(n.)   關稅;價格表
task%(n.)   工作,任務
taste%(n.)   味覺,品味,品嚐
taste%(v.)   味覺,品味,品嚐
tasteless%(a.)   沒有品味的
tasty%(a.)   美味的,好吃的
tax%(n.)   稅,稅金;重擔
taxation%(n.)   課稅,徵稅,稅制
taxi%(n.)   計程車
tea%(n.)   茶,茶樹,茶葉
teach%(v.)   教導,教授,教書
teacher%(n.)   老師,教員
teaching%(n.)   教學
team%(n.)   隊,組
tear%(n.)   眼淚
tear%(v.)   撕裂,撕下;裂開
tease%(v.)   嘲弄,逗,撕揄
tech%(n.)   科技(=technology)
technical%(a.)   工業的,工藝的
technician%(n.)   技術人員,專家
technique%(n.)   技巧,技術
technology%(n.)   科技,工藝
technological%(a.)
teen%(a.)   十幾歲的
teenager%(n.)   十幾歲的少年(少女)
teens%(n.)   十幾歲(13～19歲)
teeth%(n.)   牙齒
telegram%(n.)   電報
telegraph%(n.)   電報機
telephone%(n.)   電話
telephone%(v.)   打電話給(某人)
telescope%(n.)   望遠鏡
television%(n.)   電視(=TV)
televise%(v.)   用電視廣播
tell%(v.)   說,講,告訴;區分
temper%(n.)   脾氣,心情
temperament%(n.)   氣質
temperature%(n.)   溫度,體溫
tempest%(n.)   暴風雨
temple%(n.)   廟,神殿
temporary%(a.)   暫時的,臨時的
tempt%(v.)   誘惑
temptation%(n.)   誘惑
ten%(n.)   十
tenant%(n.)   租戶,佃農,房客
tend%(v.)   易於,有...傾向
tendency%(n.)   趨勢,傾向,性廦
tender%(a.)   溫柔的,嫩的,易傷的
tennis%(n.)   網球
tense%(a.)   緊張的
tension%(n.)   緊張
tent%(n.)   帳篷
term%(n.) 語,辭,術語;學期;條件
term%(v.)   把...取名為
terminal%(n.)   終點,末端,終站
terminate%(v.)   終結,結束
terrible%(a.)   可怕的,難受的
terrific%(a.)   極佳的
terrify%(v.)   使恐懼
terrifying%(a.)   令人恐懼的
territory%(n.)   領土,地域,領域
terror%(n.)   恐怖,恐懼
terrorist%(n.)   恐怖份子
test%(n.)   考試,考查,檢驗
test%(v.)   考試,考查,檢驗
testament%(n.)   the Old/New  Testament:舊/新約聖經
testify%(v.)   證明,作證;表明
testimony%(n.)   口供,證詞;證明
text%(n.)   正文,本文,原文
textbook%(n.)   教科書
