wage%(n.)   工資,薪水
wage%(v.)   進行
wagon%(n.)   貨車
waist%(n.)   腰部
waistcoat%(n.)   西裝背心
wait%(v.)   等待(～for)
waiter%(n.)   男服務生
wait%(n.)   等待
waiting%(n.)   候車室,候診室
wake%(v.)   喚醒,甦醒,醒悟(～up)
walk%(v.)   走路,步行,散步
walk%(n.)   走路,步行,散步
wall%(n.)   牆壁,圍牆,障礙
wallet%(n.)   皮包,皮夾
wander%(v.)   徘徊,流浪,閒蕩
want%(v.)   要,需要
want%(n.)   需要,短缺,貧困
war%(n.)   戰爭
ward%(n.)   病房,牢房
warden%(n.)   守衛;管理員
wardrobe%(n.)   衣櫥
warehouse%(n.)   倉庫;貯藏所
warm%(a.)   溫暖的
warmth%(n.)   溫暖,溫情
warn%(v.)   警告,告誡
warning%(n.)   警告(的)
warrant%(v.)   保證,擔保(=guarantee)
warrant%(n.)   拘票,正當理由
warrior%(n.)   軍人,戰士
wary%(a.)   小心的,慎重的
wash%(v.)   洗,沖洗,沖走
wash%(n.)   洗,沖洗,沖走
wash%(a.)   耐洗
washroom%(n.)   洗手間,盥洗室,廁所
washing%(n.)    洗, 洗滌; 洗(或待洗)的衣物[U]
waste%(v.)   浪費,虛擲
waste%(n.)   浪費,虛擲
wasteful%(a.)   浪費的
watch%(v.)   注視,監視
watch%(n.)   注視,監視
watch%(a.)   警戒的
watch%(v.)   警戒,提防,小心
water%(n.)   水
water%(v.)   澆水,灑水
waterfall%(n.)   瀑布
watermelon%(n.)   西瓜
wave%(n.)   浪,波浪,波,揮動
wave%(v.)   揮動
wax%(n.)   蠟
way%(n.)   道路,方法,方式,方向
weak%(a.)   虛弱的,無力的
weaken%(v.)   使虛弱,使無力
weakness%(n.)   虛弱,缺點
wealth%(n.)   財富
wealthy%(a.)   富有的
weapon%(n.)   武器
wear%(v.)   穿著,戴著,留..., 表露(表情等)
weary%(a.)   疲倦的;厭煩的
weather%(n.)   天氣
weather%(v.)   使風化
weather%(n.)   天氣預報
weave%(v.)   編織,編造
web%(n.)   網,蹼,蜘蛛網
wedding%(n.)   婚禮
Wednesday%(n.)   星期三
weed%(n.)   雜草
week%(n.)   週,一星期
weekend%(n.)   週末
weekday%(n.)   週日,平日
weep%(v.)   流淚,哭泣
weigh%(v.)   稱重
weigh%(n.)   重量;重擔
welcome%(n.)   歡迎
welcome%(嘆)   歡迎光臨
welcome%(v.)   歡迎
welcome%(a.)   受歡迎的
welfare%(n.)   幸福,福祉,福利
well-being%(n.)   幸福,福利
well-known%(a.)   著名的,有名的
well-to-do%(a.)   富裕的(=well-off)
west%(a.)   西方(的)
western%(a.)   西方的,西洋的
western%(n.)   西部片
wet%(a.)   濕的,潮濕的
whale%(n.)   鯨魚
wharf%(n.)   碼頭(pier:碼頭)
wheat%(n.)   小麥
wheel%(n.)   輪子,車輪
wheel%(v.)   開動
wheelchair%(n.)   輪椅
whereas%(連)   但是,然而
whether%(連) 是否;不管是...或...
while%(n.)   (一段)時間
while%(連)   當...;但是,然而
whirl%(v.)   旋轉,迴旋,飛駛
whisky%(n.)   威士忌酒
whisper%(v.)   耳語,低語
whistle%(v.)   吹口哨
whistle%(n.)   哨子,汽笛
white%(a.)   白(的),白色(的)
white%(n.)   白(的),白色(的)
white%(n.)   無害的謊言
whole%(a.)   全部的,整體的
wholly%(adv.) 完全地
whole-heartedly%(adv.) 全心地
wholesale%(n.)   批發(的),大批(的)
wholesome%(a.)有益健康的,合乎衛生的
wicked%(a.)   邪惡的,惡意的
wide%(a.)   寬闊的,寬的
widen%(v.)   變寬
width%(n.)   寬度
widely%(adv.) 廣泛地
widow%(n.)   寡婦,遺孀
widower%(n.)   鰥夫
wife%(n.)   妻,太太
wig%(n.)   假髮
wild%(a.)   野生的,瘋狂的,粗暴的, 荒蕪的
wilderness%(n.)   荒地,荒野
will%(助)   將,願意
will%(n.)   意志,決心
will%(v.)   決心要
willing%(a.)   情願的,樂意的
willingness%(n.)   情願,樂意
win%(v.)   嬴,獲勝,獲得
win%(n.)   勝利
wind%(n.)   風
wind%(v.)   使(人)喘不過氣來
windy%(a.)   多風的
window%(n.)   窗戶,窗
wine%(n.)   酒
wing%(n.)   翅膀
winter%(n.)   冬天,冬季
wipe%(n.)   擦拭
wipe%(v.)   擦拭,抹掉
wire%(n.)   鐵線,鐵絲
wire%(v.)   裝配電線
wise%(a.)   聰明的,有智慧的
wisdom%(n.)   智慧
wish%(v.)   但願,希望,祝...
wish%(n.)   願望
wit%(n.)   才智,機智
witch%(n.)   女巫,巫婆
withdraw%(v.) 縮回,取回,退出,撤回
withdrawal%(n.)   收回
wither%(v.)   枯萎,凋謝,萎縮
within%(介)   在...範圍之內
within%(adv.) 在...中
without%(介) 沒有...,不...,若無
without%(adv.) 在外邊
withstand%(v.)   抗拒,抵抗,耐
witness%(n.)   目擊者,證人
witness%(v.) 目擊,看到,為...作證
wolf%(n.)   狼,登徒子
wolf%(v.)   大口吞食
